Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,"Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm",Registro NSF,Factor de Velocidad,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",color,textura
-99.0,-99.0,2.0,-99.0,-99.0,-99.0,-99.0,120232.67756531043,-12.38768954334974,145.67648954445957,2.0,2.0
1.0,1.0,2.5,733.7833704327642,612.579487948567,0.44548156238827713,-99.0,162567.93050396835,-4.8479969330570025,150.62085630660334,4.0,1.0
1.0,0.0,1.5,3109.016117091531,657.4780947841111,0.3962398696314757,-99.0,-99.0,-4.465939531133848,150.36343650811853,1.0,3.0
5.0,4.0,1.0,243.69233497461386,283.5186662309888,0.5327003437568625,-99.0,-99.0,-20.398988349567688,91.91040293194796,4.0,4.0
0.0,6.0,2.5,246.33847790110923,309.35774070769725,0.5460283981545798,-99.0,607480.3957185125,-4.089326265418186,159.95100458214714,5.0,0.0
1.0,1.0,1.0,588.2282436420878,654.0650156173481,0.3973298211304213,-99.0,227289.83013013672,-7.7174500751846935,150.65365279378616,4.0,1.0
4.0,-99.0,1.0,231.82649194044495,315.43800352277515,-99.0,-99.0,487076.1651578104,-7.9147420583376435,160.81376009055307,7.0,0.0
5.0,4.0,2.0,219.91973608207275,313.01320321709915,0.40247219507391147,-99.0,-99.0,-24.683099952866524,89.43485471296587,4.0,4.0
1.0,0.0,1.0,781.2048883918472,826.4048606651822,0.4883467484008215,-99.0,335651.06668934325,-6.2919149590969,153.1681678464819,1.0,1.0
4.0,2.0,2.0,105.54626816692445,232.89234044843042,-99.0,-99.0,725054.7792473029,-6.396209679266694,164.51276029946465,5.0,0.0
-99.0,3.0,1.0,686.4625585270317,771.6826338980206,-99.0,-99.0,-99.0,8.451386282799612,208.84235468195672,4.0,1.0
3.0,5.0,1.0,124.26077728699147,331.5293394814611,-99.0,-99.0,383180.9579086353,-16.71076581680991,105.74116664080235,4.0,0.0
-99.0,3.0,2.5,628.0666976479241,334.65770475556934,-99.0,-99.0,-99.0,1.0300447298255344,237.6092864523413,2.0,0.0
1.0,0.0,3.0,813.9182973332206,826.9567617506481,0.48478157223103063,-99.0,355834.6138721169,-30.627079920849482,154.4760183535331,1.0,1.0
3.0,5.0,3.0,108.79869692931895,313.8066005103565,-99.0,-99.0,412246.4361306653,-12.813115004628783,113.42106287642054,4.0,0.0
5.0,4.0,2.0,251.7684162020359,338.7040971262504,0.4239473754509917,-99.0,-99.0,-18.48530317920102,90.9535443111404,4.0,4.0
3.0,5.0,2.0,106.24738969979535,304.2586136951897,-99.0,-99.0,384120.89546764723,-16.67479373390194,108.9545926088937,4.0,0.0
-99.0,3.0,1.5,760.1209220796544,736.4668196053032,-99.0,-99.0,-99.0,9.317774984216086,205.6082056338918,4.0,1.0
-99.0,-99.0,3.0,-99.0,-99.0,-99.0,-99.0,131691.08277550346,-7.882853631856871,151.1434049376896,2.0,2.0
0.0,6.0,2.0,194.4208382686753,332.6602801427895,0.588644009009461,193916.09327013628,876359.0861540479,-4.833926385225049,164.71249618518092,5.0,0.0
5.0,4.0,1.0,200.54877974001283,336.50572848705633,0.44565185491321735,-99.0,-99.0,-17.330608057737873,85.77334983408824,4.0,4.0
3.0,5.0,2.0,131.03135095095456,330.50017163681923,-99.0,-99.0,435778.09667513205,-14.98265507120609,106.29973197095926,4.0,0.0
3.0,0.0,2.0,629.3981224139123,288.3727908133174,-99.0,-99.0,-99.0,-15.930178276432319,154.0694751764256,4.0,1.0
1.0,4.0,2.0,432.9103175689468,239.33048693444806,-99.0,-99.0,-99.0,-20.96870646743413,153.3256243450965,6.0,1.0
1.0,0.0,2.5,1435.6174969737087,657.9125842511521,0.4922441709979131,-99.0,186373.21896565158,-4.9054613702930006,187.6067679245293,2.0,1.0
3.0,2.0,2.5,250.4093730070744,342.99967487548633,-99.0,-99.0,292585.1555905306,-1.1327405036380078,163.21002354744184,5.0,0.0
1.0,1.0,2.5,675.9997447996197,651.0166134504324,0.43736121449973814,-99.0,191425.54469554182,-1.0552778577536417,148.19889675269258,4.0,1.0
4.0,2.0,2.0,513.0465743973193,229.77789526758156,0.5622409510033044,-99.0,364036.3836244968,-8.638223241066175,178.0668430688014,5.0,0.0
1.0,1.0,2.5,683.3319301554262,595.9695775517631,0.5491206840783814,-99.0,217024.71627698455,-2.3827253356073506,152.3094452922277,4.0,1.0
1.0,0.0,1.0,897.7441483678117,875.6321439904918,0.5111922907024885,-99.0,358083.9760929443,-10.317558041054268,151.92865987080577,1.0,1.0
-99.0,3.0,2.0,689.2749035693924,834.9717868807886,-99.0,-99.0,-99.0,0.6032487966606661,208.85008141277166,4.0,1.0
1.0,0.0,1.0,732.893214823115,826.6612071779903,0.5726975696637573,-99.0,255160.06467649757,-25.318418067166544,150.06581553442294,1.0,1.0
0.0,6.0,2.0,213.65270298472888,339.29241406774713,0.44513106944226427,114718.54665059631,704718.1308301823,-5.742014805882079,160.7311507246853,5.0,0.0
1.0,1.0,3.0,721.36402701444,597.5109832863376,0.43139365374766353,-99.0,191116.34511284283,-5.905330299181758,152.24227332092315,4.0,1.0
4.0,2.0,1.0,105.871548530558,270.94371844967003,-99.0,-99.0,1070354.2234171892,-13.347123592538725,159.38099244844906,5.0,0.0
-99.0,3.0,2.0,731.19882353979,284.021886040166,-99.0,-99.0,-99.0,1.176366963025549,236.66351061534098,2.0,0.0
3.0,0.0,2.0,668.0944349976432,310.96555514083553,-99.0,-99.0,-99.0,-17.040060601812044,145.10525415929862,4.0,1.0
3.0,5.0,0.0,123.92074273027848,297.31349931945124,-99.0,-99.0,402376.1972577956,-11.847565688746794,105.3755257736331,4.0,0.0
1.0,1.0,2.5,610.8754415468849,668.6080643085519,0.5337488715830571,-99.0,191246.99991598382,6.01935839409228,150.90922111127742,4.0,1.0
1.0,0.0,2.5,498.3859768645973,537.2494261218917,0.5315490403933123,-99.0,-99.0,-11.048530975559064,149.1063448013789,1.0,1.0
