,Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,"Penetración de Cono a 25°C, 0.1mm","Punto de Gota, °C","Estabilidad Mecánica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm","Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80°C, %",Factor de Velocidad,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",descripcion,color,textura
11,Mineral HT,Complejo Sulfonato de Calcio,3.0,800.0,248.0,304.0,3.8,900.0,0.5,70,2.4,300000.0,5,150,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
La composiciÃ³n de los aceites y la base de jabÃ³n complejo sulfonato de calcio proporciona excelente protecciÃ³n anti-desgaste, alto soporte de carga extrema, protecciÃ³n anti-corrosiva en medios quÃ­micamente agresivos, asÃ­ como una excelente estabilidad mecÃ¡nica, contiene 5% de lubricantes sÃ³lidos para brindar una mayor resistencia a la pelÃ­cula lubricante en condiciones extremas.",Negro,Adherente
12,Mineral Refinado,Complejo Sulfonato de Calcio,1.0,460.0,320.0,304.0,0.8,500.0,0.48,60,0.4,350000.0,-20,190,"El producto es una grasa lubricante de servicio pesado, espesada con un novedoso jabÃ³n de complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidaciÃ³n, la corrosiÃ³n y al lavado por agua, posee excelentes propiedades de lubricaciÃ³n en condiciones de cargas severas y de extrema presiÃ³n, junto con su propiedad de sellar eficazmente contra influencias ambientales y en especial del agua.",CafÃ© Claro,Suave
13,Mineral Refinado,Complejo Sulfonato de Calcio,2.0,460.0,280.0,304.0,0.8,500.0,0.48,60,0.4,350000.0,-20,190,"El producto es una grasa lubricante de servicio pesado, espesada con un novedoso jabÃ³n de complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidaciÃ³n, la corrosiÃ³n y al lavado por agua, posee excelentes propiedades de lubricaciÃ³n en condiciones de cargas severas y de extrema presiÃ³n, junto con su propiedad de sellar eficazmente contra influencias ambientales y en especial del agua.",CafÃ© Claro,Suave
14,Mineral,Complejo Sulfonato de Calcio,2.0,700.0,280.5,290.0,7.14,315.0,0.48,60,4.28,350000.0,-15,150,"El producto es una grasa lubricante elaborada con una mezcla de bases minerales espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tÃ©rmica y antioxidante y con una configuraciÃ³n de aditivos anti-oxidantes, anti-corrosivos, anti-herrumbrantes, anti-desgaste y de extrema presiÃ³n que le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas.",Beige,Adherente
15,Mineral HT,Complejo Sulfonato de Calcio,2.0,430,270.0,295.0,5.0,486.2,0.48,45,1.0,150000.0,-10,150,"El producto es una grasa de efecto sellante con una mezcla de aceites bases altamente refinados, aditivos de anti-desgaste y compuestos adherentes para la lubricaciÃ³n y sellado de vÃ¡lvulas tipo macho.",Ambar,Suave Adhesiva
16,Mineral USP,Complejo de Aluminio,2.0,480.0,275.0,260.0,4.0,250.0,0.6,40,2.0,350000.0,-5,180,"El producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios quÃ­micos, comÃºnmente utilizados en la industria alimenticia, se recomienda para aplicaciones especiales y generales en la industria alimenticia, es resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes.
@El producto estÃ¡ aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.",Blanco,Suave
17,Mineral HT,Silica,2.0,680.0,280.0,0.0,8.0,800.0,0.48,45,5.0,350000.0,5,210,"El producto es una grasa lubricante que posee excelentes propiedades de lubricaciÃ³n en condiciones de alta temperatura y extrema presiÃ³n.
Especialmente diseÃ±ada para soportar condiciones de alta fricciÃ³n y temperatura en las peletizadoras de madera, contiene un conjunto de aditivos y lubricantes sÃ³lidos que le permiten mantener condiciones lubricantes de emergencia bajo condiciones de carga, fricciÃ³n y vibraciÃ³n, es altamente estable a la temperatura no perdiendo su estructura con los cambios.",Beige,Adherente
18,Mineral HT,Silica,2.0,680.0,240.0,304.0,9.8,315.0,0.48,40,5.0,350000.0,0,240,"El producto es una grasa lubricante que posee excelentes propiedades de lubricaciÃ³n en condiciones de alta temperatura asÃ­ como extrema presiÃ³n.
Especialmente diseÃ±ada para soportar condiciones de extrema temperatura por largos periodos en las cuales las grasas convencionales de jabÃ³n no son funcionales a 240ÂºC, es altamente estable a la temperatura no perdiendo su estructura con los cambios.",Ambar,Suave
19,Mineral HT,Complejo de Litio,1.2,400.0,280.5,235.0,4.72,250.0,0.48,45,2.2,350000.0,-25,150,"El producto  Grasa Lubricante con gran adherencia, excelente resistencia a la humedad, Extrema PresiÃ³n y temperaturas bajas y altas.
La composiciÃ³n de su aceite bÃ¡sico hidrotratado, espesante de complejo de litio  y aditivada con microparticulas que le proveen de mayor protecciÃ³n contra el desgaste, la corrosiÃ³n ademÃ¡s de excelente estabilidad al trabajo mecÃ¡nico.",Beige Claro,Adherente
20,Mineral,Complejo de Aluminio,0.0,220.0,460.0,110.0,4.72,315.0,0.48,40,2.2,300000.0,-5,160,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en estas industrias.
El producto estÃ¡ aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.",Blanco,Suave
21,Mineral USP,Complejo de Aluminio,1.0,100.0,320.0,255.0,3.2,250.0,0.48,40,3.0,900000.0,-10,160,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
El producto cumple con los lineamientos de la NSF (National Sanitation Foundation) como lubricante tipo H1 para contacto incidental con alimentos.",Blanco,Suave
22,Mineral USP,Complejo de Aluminio,2.0,100.0,275.0,255.0,3.2,250.0,0.48,40,3.0,900000.0,-10,160,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
El producto cumple con los lineamientos de la NSF (National Sanitation Foundation) como lubricante tipo H1 para contacto incidental con alimentos.",Blanco,Suave
23,Mineral USP,Complejo de Aluminio,3.0,100.0,245.0,255.0,3.2,250.0,0.48,40,3.0,750000.0,-5,160,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
El producto cumple con los lineamientos de la NSF (National Sanitation Foundation) como lubricante tipo H1 para contacto incidental con alimentos.",Blanco,Suave
24,Mineral USP,Complejo Sulfonato de Calcio,1.0,220.0,315.0,260.0,3.9,300.0,0.48,40,2.5,500000.0,-5,160,"El producto es una grasa lubricante para aplicaciones en la industria alimenticia,  en donde se requiere una alta resistencia a condiciones de humedad, vapores Ã¡cidos y desinfectantes utilizados en la industria alimenticia. 
Los componentes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn el CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations) .",Cristalino,Suave
25,Mineral USP,Complejo Sulfonato de Calcio,2.0,220.0,270.0,270.0,6.3,300.0,0.48,40,2.5,350000.0,-5,160,"El producto es una grasa lubricante para aplicaciones en la industria alimenticia,  en donde se requiere una alta resistencia a condiciones de humedad, vapores Ã¡cidos y desinfectantes utilizados en la industria alimenticia. 
Los componentes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn el CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations) .",Cristalino,Suave
26,Mineral USP,Complejo Sulfonato de Calcio,1.0,100.0,325.0,304.0,1.4,500.0,0.35,40,0.02,900000.0,-5,180,"El producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios quÃ­micos comÃºn-mente utilizados en la industria alimenticia. 
Se recomienda para aplicaciones especiales y generales en la industria alimenticia, resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.",Beige,Suave
27,Mineral USP,Complejo Sulfonato de Calcio,2.0,100.0,290.0,304.0,1.4,500.0,0.35,40,0.02,900000.0,-5,180,"El producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios quÃ­micos comÃºn-mente utilizados en la industria alimenticia. 
Se recomienda para aplicaciones especiales y generales en la industria alimenticia, resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.",Beige,Suave
28,Mineral HT,Complejo Sulfonato de Calcio,0.0,3500.0,365.0,140.0,1.6,620.0,0.45,60,2.2,350000.0,-5,150,"El producto es un lubricante especial para sistemas de engranajes abiertos sujetos a grandes presiones en aplicaciones de minerÃ­a.
EstÃ¡ formulado con una mezcla de bÃ¡sicos de alta viscosidad, aditivos de adherencia asÃ­ como de extrema presiÃ³n, antidesgaste, y anti-corrosivos que proveen una pelÃ­cula lubricante de gran polaridad que previene el contacto entre las superficies de los dientes evitando asÃ­ el desgaste y aportando alta resistencia a las condiciones medioambientales. ",Negro,Viscosa adherente
29,Mineral HT,Complejo de Aluminio - Poliurea,1.0,680.0,310.0,260.0,6.5,620.0,0.48,50,1.45,200000.0,-10,150,"El producto es un grasa lubricante con propiedades especiales de gran adhesiÃ³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea.
Por sus caracterÃ­sticas es ideal para la lubricaciÃ³n de mecanismos que operan en velocidades bajas, ademÃ¡s proporciona excelentes propiedades de sellado contra los medios hÃºmedos y contaminantes agresivos como sustancias alcalinas y acidas.",Beige,Adherente
30,Mineral HT,Complejo de Aluminio - Poliurea,1.5,680.0,300.0,260.0,6.5,620.0,0.48,50,1.45,200000.0,-5,150,"El producto es un grasa lubricante con propiedades especiales de gran adhesiÃ³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea.
Por sus caracterÃ­sticas es ideal para la lubricaciÃ³n de mecanismos que operan en velocidades bajas, ademÃ¡s proporciona excelentes propiedades de sellado contra los medios hÃºmedos y contaminantes agresivos como sustancias alcalinas y acidas.",Beige,Adherente
31,Mineral HT,Complejo de Aluminio - Poliurea,2.0,680.0,275.0,260.0,6.5,620.0,0.48,50,1.45,200000.0,-5,150,"El producto es un grasa lubricante con propiedades especiales de gran adhesiÃ³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea.
Por sus caracterÃ­sticas es ideal para la lubricaciÃ³n de mecanismos que operan en velocidades bajas, ademÃ¡s proporciona excelentes propiedades de sellado contra los medios hÃºmedos y contaminantes agresivos como sustancias alcalinas y acidas.",Beige,Adherente
32,Mineral HT,Complejo de Aluminio - Poliurea,3.0,680.0,230.0,260.0,5.2,620.0,0.48,50,0.32,200000.0,5,150,"El producto es un grasa lubricante con propiedades especiales de gran adhesiÃ³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea.
Por sus caracterÃ­sticas es ideal para la lubricaciÃ³n de mecanismos que operan en velocidades bajas, ademÃ¡s proporciona excelentes propiedades de sellado contra los medios hÃºmedos y contaminantes agresivos como sustancias alcalinas y acidas.",Beige,Adherente
33,Mineral,Complejo de Poliurea,0.0,120.0,415.0,190.0,11.0,315.0,0.48,45,2.2,400000.0,-15,110,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",Beige,Suave
34,Mineral,Complejo de Poliurea,0.0,120.0,370.0,230.0,11.0,315.0,0.48,45,2.2,400000.0,-15,110,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",Beige,Suave
35,Mineral,Complejo de Poliurea,1.0,120.0,315.0,235.0,6.2,315.0,0.48,45,2.5,400000.0,-15,110,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",Beige,Suave
36,Mineral,Complejo de Poliurea,1.5,120.0,310.0,235.0,5.8,315.0,0.48,45,2.4,400000.0,-15,110,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",Beige,Suave
37,Mineral,Complejo de Poliurea,2.0,120.0,276.0,235.0,5.3,315.0,0.48,45,2.4,400000.0,-15,110,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",Beige,Suave
38,Mineral,Complejo de Poliurea,3.0,120.0,236.0,250.0,6.0,315.0,0.48,45,3.2,350000.0,-10,120,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",Beige,Suave
39,Mineral HT,Complejo Sulfonato de Calcio,0.0,1500.0,365.0,304.0,4.4,620.0,0.45,60,3.7,200000.0,-5,190,"El producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tÃ©rmica y antioxidante. Su configuraciÃ³n de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
Posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga y anti-desgaste excep-cionales. ",Ambar,Adherente
40,Mineral HT,Complejo Sulfonato de Calcio,1.5,1500.0,300.0,304.0,1.0,620.0,0.45,60,0.3,200000.0,-5,190,"El producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tÃ©rmica y antioxidante. Su configuraciÃ³n de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
Posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga y anti-desgaste excep-cionales. ",Ambar,Adherente
41,Mineral HT,Complejo Sulfonato de Calcio,2.0,1500.0,280.0,304.0,1.0,620.0,0.45,60,0.3,200000.0,-5,190,"El producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tÃ©rmica y antioxidante. Su configuraciÃ³n de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
Posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga y anti-desgaste excep-cionales. ",Ambar,Adherente
42,Mineral HT,Complejo de Litio,2.0,320.0,270.0,304.0,2.1,900.0,0.4,60,1.2,300000.0,-15,150,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua, alto soporte de carga extrema y lubricantes solidos. 
Los aceites y la base de jabÃ³n complejo de litio especial proporciona una excelente estabilidad mecÃ¡nica y tÃ©rmica permitiendo trabajar bajo condiciones extremas de baja y alta temperatura. Su paquete de aditivos de extrema presiÃ³n y anti-desgaste le permiten soportar las cargas mÃ¡s extremas de equipos fuera de mina ademÃ¡s de proporcionar protecciÃ³n anticorrosiva tanto a aleaciones ferrosas como de cobre. 
Contiene 5 % de lubricantes sÃ³lidos para brindar una mayor resistencia a la pelÃ­cula lubricante en condiciones extremas de vibraciÃ³n y carga.",Negro,Suave
43,Mineral HC,Complejo de Litio,0.0,220.0,360.0,200.0,8.0,315.0,0.5,45,4.0,350000.0,-20,90,"El producto es una grasa formulada con aceite base mineral, un espesante de Complejo de Litio y aditivos seleccionados que  dan como resultado excelente estabilidad mecÃ¡nica,  tÃ©rmica y una lubricaciÃ³n de larga vida.
Mantiene protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga/anti-desgaste extraordinarias por largos periodos",Beige,Suave Adherente
44,Mineral HC,Complejo de Litio,1.0,220.0,320.0,280.0,5.0,315.0,0.5,45,3.0,350000.0,-20,90,"El producto es una grasa formulada con aceite base mineral, un espesante de Complejo de Litio y aditivos seleccionados que  dan como resultado excelente estabilidad mecÃ¡nica,  tÃ©rmica y una lubricaciÃ³n de larga vida.
Mantiene protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga/anti-desgaste extraordinarias por largos periodos",Beige,Suave Adherente
45,Mineral HC,Complejo de Litio,2.0,220.0,277.5,280.0,5.0,315.0,0.5,45,3.0,350000.0,-20,90,"El producto es una grasa formulada con aceite base mineral, un espesante de Complejo de Litio y aditivos seleccionados que  dan como resultado excelente estabilidad mecÃ¡nica,  tÃ©rmica y una lubricaciÃ³n de larga vida.
Mantiene protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga/anti-desgaste extraordinarias por largos periodos",Beige,Suave Adherente
46,Mineral USP,Complejo Sulfonato de Calcio,1.0,40.0,325.0,287.24,12.14,250.0,0.48,45,6.28,1000000.0,-10,160,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia. 
Los ingredientes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations).",Blanco,Suave
47,Mineral USP,Complejo Sulfonato de Calcio,2.0,40.0,280.0,287.24,12.14,250.0,0.48,45,6.28,1000000.0,-10,160,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia. 
Los ingredientes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations).",Blanco,Suave
48,Mineral USP,Complejo Sulfonato de Calcio,3.0,40.0,235.0,287.2421756,12.14,250.0,0.48,45,6.28,900000.0,-5,160,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia. 
Los ingredientes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations).",Blanco,Suave
49,Semi-Sintetico,Bentonita,1.0,220.0,320.0,304.0,8.0,315.0,0.5,40,3.0,750000.0,-5,160,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia.
El producto estÃ¡ aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.",Blanco,Suave
50,Semi-Sintetico,Bentonita,1.5,220.0,300.0,304.0,8.0,315.0,0.5,40,3.0,750000.0,-5,160,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia.
El producto estÃ¡ aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.",Blanco,Suave
